GEOID,population
17001000100,4652.0
17001000201,2013.0
17001000202,2361.0
17001000400,3063.0
17001000500,1991.0
17001000600,4401.0
17001000700,1106.0
17001000800,2780.0
17001000900,2599.0
17001001001,3463.0
17001001002,3048.0
17001001100,8036.0
17001010100,4546.0
17001010200,3710.0
17001010301,2797.0
17001010302,3109.0
17001010400,3520.0
17001010500,2934.0
17001010600,5749.0
17003957600,1864.0
17003957700,1656.0
17003957800,1252.0
17003957900,716.0
17005951200,3114.0
17005951300,6529.0
17005951400,2985.0
17005951500,4176.0
17007010101,4226.0
17007010102,3949.0
17007010200,5795.0
17007010300,6832.0
17007010400,7141.0
17007010501,4961.0
17007010502,5042.0
17007010601,3674.0
17007010603,6604.0
17007010604,5368.0
17009970400,2245.0
17009970500,4085.0
17011964700,2785.0
17011964800,3183.0
17011964900,2751.0
17011965000,3781.0
17011965100,4011.0
17011965200,3670.0
17011965300,3387.0
17011965400,3349.0
17011965500,3618.0
17011965600,2803.0
17013951200,2285.0
17013951300,2252.0
17015960100,3536.0
17015960200,2050.0
17015960300,3276.0
17015960400,2031.0
17015960500,2451.0
17015960600,2242.0
17017960100,2163.0
17017960200,2528.0
17017960300,2772.0
17017960400,2899.0
17017960500,2696.0
17019000200,2333.0
17019000301,5815.0
17019000302,2545.0
17019000401,4987.0
17019000402,3556.0
17019000500,3441.0
17019000700,3845.0
17019000800,6584.0
17019000901,4679.0
17019000902,7345.0
17019001000,4482.0
17019001100,3712.0
17019001201,7013.0
17019001203,4423.0
17019001204,3713.0
17019001205,8131.0
17019001206,1966.0
17019001301,6197.0
17019001302,4374.0
17019001400,6884.0
17019005300,4871.0
17019005401,4094.0
17019005402,4020.0
17019005500,4669.0
17019005601,5738.0
17019005602,2264.0
17019005701,4835.0
17019005702,1681.0
17019005800,3674.0
17019005901,2563.0
17019005902,2915.0
17019006000,3315.0
17019010100,4213.0
17019010204,4865.0
17019010300,3715.0
17019010400,4396.0
17019010500,4299.0
17019010601,6404.0
17019010603,7204.0
17019010604,2590.0
17019010701,3943.0
17019010702,4005.0
17019010800,4352.0
17019010901,6352.0
17019010902,3686.0
17019011001,1989.0
17019011002,1857.0
17019011100,2049.0
17021958100,2998.0
17021958200,3597.0
17021958300,4474.0
17021958400,3650.0
17021958500,2337.0
17021958600,2310.0
17021958700,4675.0
17021958800,2445.0
17021958900,2673.0
17021959000,4879.0
17023060100,4643.0
17023060200,4100.0
17023060300,5029.0
17023060400,1815.0
17025971900,2419.0
17025972000,2831.0
17025972100,5034.0
17025972200,3029.0
17027900100,6391.0
17027900200,1929.0
17027900300,6895.0
17027900401,1164.0
17027900403,3843.0
17027900404,1231.0
17027900500,5954.0
17027900601,2802.0
17027900602,6839.0
17029000100,2577.0
17029000200,5359.0
17029000300,4662.0
17029000400,2647.0
17029000500,5738.0
17029000600,3039.0
17029000701,2594.0
17029000702,3178.0
17029000800,3961.0
17029000900,3832.0
17029001000,3164.0
17029001100,3471.0
17029001200,3320.0
17031010100,4534.0
17031010201,8232.0
17031010202,3124.0
17031010300,6085.0
17031010400,4587.0
17031010501,4057.0
17031010502,2816.0
17031010503,2182.0
17031010600,6553.0
17031010701,3646.0
17031010702,5014.0
17031020100,3972.0
17031020200,7159.0
17031020301,5303.0
17031020302,5348.0
17031020400,4115.0
17031020500,6560.0
17031020601,5937.0
17031020602,5823.0
17031020701,1728.0
17031020702,8659.0
17031020801,6025.0
17031020802,8514.0
17031020901,6237.0
17031020902,4517.0
17031030101,3699.0
17031030102,3147.0
17031030103,2459.0
17031030104,3245.0
17031030200,5995.0
17031030300,3828.0
17031030400,2764.0
17031030500,6703.0
17031030601,3789.0
17031030603,2361.0
17031030604,3234.0
17031030701,1509.0
17031030702,2323.0
17031030703,2995.0
17031030706,2720.0
17031030800,4164.0
17031030900,3149.0
17031031000,3830.0
17031031100,4685.0
17031031200,5878.0
17031031300,7237.0
17031031400,4934.0
17031031501,4684.0
17031031502,4878.0
17031031700,6355.0
17031031800,2014.0
17031031900,2599.0
17031032100,7944.0
17031040100,3982.0
17031040201,6980.0
17031040202,7726.0
17031040300,2988.0
17031040401,3440.0
17031040402,4621.0
17031040600,2817.0
17031040700,3667.0
17031040800,1689.0
17031040900,1816.0
17031050100,2769.0
17031050200,5915.0
17031050300,2755.0
17031050500,5587.0
17031050600,2188.0
17031050700,1501.0
17031050800,1439.0
17031050900,1532.0
17031051000,1746.0
17031051100,1939.0
17031051200,1564.0
17031051300,3249.0
17031051400,2428.0
17031060100,3211.0
17031060200,2188.0
17031060300,2902.0
17031060400,3804.0
