GEOID,population
42001030101,2649.0
42001030103,2268.0
42001030104,3513.0
42001030200,5545.0
42001030300,4364.0
42001030400,5437.0
42001030500,3765.0
42001030600,4901.0
42001030700,6458.0
42001030801,3352.0
42001030802,1593.0
42001030803,2689.0
42001030901,3427.0
42001030902,4232.0
42001031000,2133.0
42001031101,5124.0
42001031102,3583.0
42001031201,3764.0
42001031202,2832.0
42001031203,3081.0
42001031300,4730.0
42001031401,4595.0
42001031402,2344.0
42001031501,3483.0
42001031502,3940.0
42001031600,7111.0
42001031700,2869.0
42003010301,2526.0
42003010302,4180.0
42003020100,4621.0
42003020300,1383.0
42003030500,2815.0
42003040200,1575.0
42003040400,1571.0
42003040500,2840.0
42003040600,2359.0
42003040900,3623.0
42003050100,1623.0
42003050600,2164.0
42003050900,1221.0
42003051000,2150.0
42003051100,546.0
42003060300,2290.0
42003060500,1200.0
42003070300,2272.0
42003070500,2940.0
42003070600,2194.0
42003070800,2596.0
42003070900,4076.0
42003080200,1907.0
42003080400,1670.0
42003080600,2110.0
42003080700,1948.0
42003080900,1977.0
42003090100,2089.0
42003090200,2652.0
42003090300,1594.0
42003100500,2031.0
42003101100,2651.0
42003101400,3178.0
42003101800,2640.0
42003101900,2641.0
42003110200,4130.0
42003110600,2256.0
42003111300,2818.0
42003111400,1360.0
42003111500,2999.0
42003120300,2169.0
42003120900,1728.0
42003130200,1238.0
42003130600,3158.0
42003130700,2463.0
42003130800,2030.0
42003140100,5706.0
42003140200,2464.0
42003140300,3489.0
42003140400,2257.0
42003140500,1853.0
42003140800,4566.0
42003141100,1369.0
42003141200,3842.0
42003141300,4987.0
42003141400,5001.0
42003151600,2381.0
42003151700,5140.0
42003160800,2389.0
42003160900,3291.0
42003161000,2954.0
42003170200,3841.0
42003170600,1570.0
42003180300,2180.0
42003180700,2145.0
42003190300,1912.0
42003191100,2227.0
42003191400,2340.0
42003191500,2065.0
42003191600,4046.0
42003191700,3500.0
42003191800,5120.0
42003191900,1998.0
42003192000,3680.0
42003202200,2797.0
42003202300,3638.0
42003241300,3354.0
42003250900,1162.0
42003260200,2167.0
42003260700,1640.0
42003261300,2997.0
42003261400,2530.0
42003261500,2054.0
42003262000,2623.0
42003270100,2815.0
42003270300,2199.0
42003270800,2378.0
42003271600,4655.0
42003281400,2490.0
42003281500,1443.0
42003290100,1842.0
42003290200,4586.0
42003290400,3994.0
42003300100,4050.0
42003310200,2994.0
42003320400,1828.0
42003320600,2330.0
42003320700,1802.0
42003401100,4514.0
42003401200,2827.0
42003401300,2845.0
42003402000,3240.0
42003403500,4359.0
42003404000,1420.0
42003405000,1113.0
42003406000,2285.0
42003407001,5859.0
42003407002,6364.0
42003408001,5652.0
42003408002,6166.0
42003409001,9335.0
42003409002,5097.0
42003410000,1226.0
42003411001,4079.0
42003411002,5711.0
42003412002,4625.0
42003412003,6577.0
42003412004,4037.0
42003413100,6658.0
42003413201,4057.0
42003413202,2773.0
42003413300,4476.0
42003413400,4568.0
42003413500,6994.0
42003414101,5293.0
42003414102,7334.0
42003414200,5798.0
42003415001,4663.0
42003415002,2598.0
42003416000,1537.0
42003417100,2077.0
42003417200,1318.0
42003418000,1647.0
42003419000,3112.0
42003420000,1555.0
42003421100,4982.0
42003421200,4226.0
42003422000,5314.0
42003423000,2901.0
42003424000,3214.0
42003425000,3426.0
42003426300,6177.0
42003426400,4278.0
42003426700,2276.0
42003426800,5327.0
42003427000,3414.0
42003427100,5479.0
42003427200,4580.0
42003428100,1206.0
42003428200,2042.0
42003429100,2644.0
42003429201,4886.0
42003429202,4631.0
42003429300,6553.0
42003429400,4323.0
42003429500,4319.0
42003429600,3613.0
42003429700,2260.0
42003430100,2104.0
42003430200,4582.0
42003431100,3186.0
42003431400,1870.0
42003431500,3231.0
42003432300,2293.0
42003432400,2460.0
42003434000,1899.0
42003435000,2551.0
42003437000,6889.0
42003439000,1528.0
42003445500,3889.0
42003446000,1529.0
42003447000,1649.0
42003448000,1137.0
42003449000,2622.0
42003450700,2929.0
42003450800,2610.0
42003451101,3838.0
42003451102,5886.0
42003451104,4051.0
42003451105,5674.0
42003451300,7414.0
42003452000,6263.0
42003453003,1838.0
42003453004,7748.0
42003455000,1448.0
42003456001,4728.0
42003456003,7716.0
42003456004,5469.0
42003457100,1380.0
42003457200,3446.0
42003458001,4242.0
42003458002,4491.0
42003459101,1807.0
42003459102,6172.0
42003459201,7282.0
42003459202,668.0
42003460001,4967.0
42003460002,3611.0
42003461000,953.0
42003462100,2762.0
42003462600,3637.0
42003463900,2890.0
42003464300,3368.0
42003464400,3040.0
42003465600,2750.0
42003465800,3317.0
42003468700,1613.0
42003468800,2719.0
42003468900,3768.0
42003469000,4851.0
42003470300,4006.0
42003470400,3073.0
42003470501,4354.0
42003470502,2957.0
42003470600,3137.0
42003471000,1239.0
42003472100,2273.0
42003472200,2145.0
42003472300,1978.0
42003472400,1859.0
42003473100,4923.0
42003473200,3048.0
42003473300,5721.0
42003473401,3958.0
42003473402,3726.0
42003473500,3836.0
42003473601,3926.0
42003473602,4694.0
42003474101,4343.0
42003474102,3939.0
42003474201,2624.0
42003474202,5187.0
42003474203,4845.0
42003475101,4643.0
42003475102,1720.0
42003475200,5386.0
42003475301,4533.0
42003475303,4231.0
42003475304,5506.0
42003475401,4147.0
42003475402,3190.0
42003476100,5082.0
42003476200,3225.0
42003477100,3571.0
42003477200,4491.0
42003477300,6820.0
42003478100,4414.0
42003478200,5585.0
42003479000,2033.0
42003480101,5821.0
42003480102,2950.0
42003480200,3913.0
42003480300,3668.0
42003480400,4922.0
42003481000,3383.0
42003482500,1826.0
42003483800,2919.0
42003484300,3127.0
42003484500,5883.0
42003484600,1817.0
42003485000,1247.0
42003486700,2126.0
42003486800,1524.0
42003486900,1630.0
42003487000,1592.0
42003488100,2073.0
42003488200,3321.0
42003488300,2109.0
42003488400,4397.0
42003488500,2693.0
42003488600,5045.0
42003489001,4894.0
42003489002,3560.0
42003490002,5127.0
42003490003,3581.0
42003490004,4987.0
42003491101,7305.0
42003491200,2071.0
42003492700,2089.0
42003492800,2258.0
42003492900,1898.0
42003494000,1388.0
42003495000,3104.0
42003496101,2943.0
42003496102,4283.0
42003496200,5744.0
42003497000,984.0
42003498000,2230.0
42003499300,1757.0
42003499400,2701.0
42003500300,3689.0
42003501000,1637.0
42003503002,5795.0
42003504100,5231.0
42003507000,2047.0
42003508000,1846.0
42003509400,5136.0
42003510000,1787.0
42003512000,2154.0
42003513000,2218.0
42003513800,1949.0
42003514000,1793.0
42003515100,2623.0
42003515200,2055.0
42003515300,1553.0
42003515401,2414.0
42003516100,1431.0
42003516200,1698.0
42003517000,1645.0
42003518001,3066.0
42003519000,3134.0
42003520001,3146.0
42003520002,3177.0
42003521100,4416.0
42003521200,4406.0
42003521301,4147.0
42003521302,4391.0
42003521401,3142.0
42003521402,3919.0
42003521500,4240.0
42003522000,3117.0
42003523100,3891.0
42003523200,4129.0
42003523300,4072.0
42003523400,5259.0
42003523501,4332.0
42003523502,1462.0
42003523600,4737.0
42003523701,3723.0
42003523702,5284.0
42003523800,4243.0
42003524000,2731.0
42003525100,1949.0
42003525200,2475.0
42003525300,2298.0
42003526101,7681.0
42003526102,2203.0
42003526201,3680.0
42003526202,4657.0
42003526301,3867.0
42003526302,5035.0
42003550900,1680.0
42003551200,3183.0
42003551300,2418.0
42003551900,1464.0
42003552000,1887.0
42003552100,1461.0
42003552200,869.0
42003552300,1487.0
42003552400,3486.0
42003560400,1527.0
42003560500,2183.0
42003561400,3877.0
42003561500,2981.0
42003561900,2085.0
42003562000,2681.0
42003562300,2680.0
42003562400,3046.0
42003562500,2373.0
42003562600,2759.0
42003562700,1955.0
42003562800,1386.0
42003562901,1553.0
42003563000,3114.0
42003563100,3522.0
42003563201,231.0
42003563202,1920.0
42003563300,1479.0
42003563800,3690.0
42003563900,3963.0
42003564000,6942.0
42003564100,912.0
42003564200,2172.0
42003564400,5463.0
42003564500,3268.0
42003564700,2023.0
42003564800,1901.0
42003565100,2994.0
42003565200,2955.0
42003565300,1308.0
42003980000,0.0
42003980100,0.0
42003980300,0.0
42003980400,0.0
42003980500,19.0
42003980600,7.0
42003980700,0.0
42003980800,0.0
42003980900,536.0
42003981000,0.0
42003981100,0.0
42003981200,0.0
42003981800,414.0
42003982200,4786.0
42005950100,4546.0
42005950200,2105.0
42005950300,3482.0
42005950400,2398.0
42005950500,5431.0
42005950600,3041.0
42005950700,3859.0
42005950800,3835.0
42005950900,4926.0
42005951000,2878.0
42005951100,3919.0
42005951200,5706.0
42005951300,2473.0
42005951400,2571.0
42005951500,2524.0
42005951600,4632.0
42005951700,3735.0
42005951800,2078.0
42005951900,1828.0
42007600601,2112.0
42007600602,2695.0
42007600701,2911.0
42007600702,5072.0
42007601000,3823.0
42007601100,3190.0
42007601200,2973.0
42007601300,2906.0
42007601400,3216.0
42007601600,1263.0
42007601700,3264.0
42007601801,3688.0
42007601802,3484.0
42007602100,3488.0
42007602300,2401.0
42007602400,2037.0
42007602500,1391.0
42007602601,5474.0
42007602602,3294.0
42007602701,1607.0
42007602702,3442.0
42007602800,2661.0
42007602900,2606.0
42007603000,2820.0
42007603202,6761.0
42007603300,3898.0
42007603400,1724.0
42007603500,1696.0
42007603600,2154.0
42007603700,3937.0
42007603801,2787.0
42007603802,3280.0
42007603803,2990.0
42007603900,3170.0
42007604000,2565.0
42007604100,2853.0
42007604200,1541.0
42007604500,2109.0
42007604600,2685.0
42007604700,1355.0
42007604800,4694.0
42007604901,4806.0
42007604902,4220.0
42007605001,2360.0
42007605002,3532.0
42007605100,4607.0
42007605200,2491.0
42007605300,2892.0
42007605400,3614.0
42007605500,5381.0
42007605600,3226.0
42007605700,3088.0
42007605800,6026.0
42009960100,3455.0
42009960200,3359.0
42009960300,4748.0
42009960400,5181.0
42009960500,3354.0
42009960600,5058.0
42009960700,2851.0
42009960800,5169.0
42009960900,4700.0
42009961001,2713.0
42009961002,3120.0
42009961100,4021.0
42011000100,4512.0
42011000200,4392.0
42011000300,2747.0
42011000400,4138.0
42011000500,4053.0
42011000600,3766.0
42011000700,4945.0
42011000800,5346.0
42011000900,2517.0
42011001000,3727.0
42011001100,4717.0
42011001200,1665.0
42011001300,3185.0
42011001400,3939.0
42011001500,3639.0
42011001600,3382.0
42011001700,3239.0
42011001800,2954.0
42011001900,1833.0
42011002001,1570.0
42011002002,3374.0
42011002100,3230.0
42011002200,2464.0
42011002300,2370.0
42011002500,3888.0
42011002600,3298.0
42011002700,2190.0
42011002900,3081.0
42011010100,5580.0
42011010201,4448.0
42011010202,5507.0
42011010302,2777.0
42011010303,2211.0
42011010304,6587.0
42011010401,1474.0
42011010402,6956.0
42011010500,6413.0
42011010601,2780.0
42011010602,6146.0
42011010701,3133.0
42011010702,4487.0
42011010801,2051.0
42011010803,5817.0
42011010804,3442.0
42011010902,4257.0
42011010903,6536.0
42011010904,4029.0
42011010905,4932.0
42011011000,4739.0
42011011101,2232.0
42011011102,5647.0
42011011200,4496.0
42011011300,2983.0
42011011400,5470.0
42011011500,2934.0
42011011601,5637.0
42011011602,4367.0
42011011603,5591.0
42011011702,4621.0
42011011703,4335.0
42011011704,2575.0
42011011705,4952.0
42011011800,5119.0
42011011902,3852.0
42011011903,5364.0
42011011905,3108.0
42011011906,4858.0
42011012001,2240.0
42011012003,2045.0
42011012004,7187.0
42011012101,1832.0
42011012103,2117.0
42011012104,3651.0
42011012106,4625.0
42011012107,3605.0
42011012200,3435.0
42011012300,4526.0
42011012400,7777.0
42011012500,2198.0
42011012600,2297.0
42011012701,5280.0
42011012702,4130.0
42011012800,4226.0
42011012901,3833.0
42011012902,3804.0
42011013000,6757.0
42011013100,5125.0
42011013200,4242.0
42011013301,2979.0
42011013302,6431.0
42011013402,2923.0
42011013403,4021.0
42011013404,3649.0
42011013501,3804.0
42011013502,3916.0
42011013503,4002.0
42011013600,4059.0
42011013701,3605.0
42011013702,3729.0
42011013800,4317.0
42011013901,4482.0
42011013902,3445.0
42011014000,4257.0
42011014101,3843.0
42011014102,4173.0
42011014201,3179.0
42011014202,4617.0
42013010101,4413.0
42013010102,2853.0
42013010103,2620.0
42013010401,1600.0
42013010403,2898.0
42013010404,3579.0
42013010500,4824.0
42013010600,2044.0
42013010701,2703.0
42013010702,3702.0
42013010800,3637.0
42013010900,7404.0
42013011001,3655.0
42013011002,3939.0
42013011101,1383.0
42013011102,4698.0
42013011201,3402.0
42013011202,2220.0
42013011300,5483.0
42013011400,2448.0
42013011500,5426.0
42013011600,3835.0
42013100200,2335.0
42013100300,3084.0
42013100400,1504.0
42013100500,3381.0
42013100600,2631.0
42013100700,2390.0
42013100800,1817.0
42013100900,4099.0
42013101100,1588.0
42013101200,3858.0
42013101400,3501.0
42013101500,3295.0
42013101600,2849.0
42013101700,3821.0
42013101800,2698.0
42013101900,1515.0
42015950100,3943.0
42015950200,4828.0
42015950300,5484.0
42015950400,3268.0
42015950501,3160.0
42015950502,3109.0
42015950600,4246.0
42015950700,4309.0
42015950800,3687.0
42015950900,5501.0
42015951000,2808.0
42015951100,3030.0
42015951200,4858.0
42015951300,4084.0
42015951400,3918.0
42017100102,2713.0
42017100103,2368.0
42017100104,5218.0
42017100105,3070.0
42017100201,5110.0
42017100206,5826.0
42017100207,5011.0
42017100208,6149.0
42017100210,7289.0
42017100211,6592.0
42017100212,3877.0
42017100213,5367.0
42017100214,3866.0
42017100302,4976.0
42017100303,5008.0
42017100304,2920.0
42017100306,4032.0
42017100307,4937.0
42017100401,5607.0
42017100402,6984.0
42017100403,2122.0
42017100404,5744.0
42017100406,4545.0
42017100407,1236.0
42017100408,6198.0
42017100500,2288.0
42017100600,3888.0
42017100700,3671.0
42017100803,5038.0
42017100804,3720.0
42017100805,7209.0
42017100807,4063.0
42017100808,4503.0
42017100809,5836.0
42017100811,5052.0
42017100900,7263.0
42017101100,2494.0
42017101401,5130.0
42017101403,5926.0
42017101404,3316.0
42017101405,6038.0
42017101503,4129.0
42017101504,2516.0
42017101505,3495.0
42017101506,5109.0
42017101603,3302.0
42017101605,4425.0
42017101607,4849.0
42017101609,3911.0
42017101610,4606.0
42017101611,6340.0
42017101802,6462.0
42017101805,2043.0
42017101807,4136.0
42017101808,2909.0
42017101809,3855.0
42017101810,6033.0
42017101900,4244.0
42017102002,2927.0
42017102003,4124.0
42017102004,5146.0
42017102102,3382.0
42017102104,5954.0
42017102300,5800.0
42017102401,3953.0
42017102402,5115.0
42017102500,4738.0
42017102600,2166.0
42017102700,5180.0
42017102801,3639.0
42017103101,2132.0
42017103102,1738.0
42017103103,5415.0
42017103300,2118.0
42017103400,5172.0
42017103700,3381.0
42017103800,1222.0
42017103900,3834.0
42017104000,7433.0
42017104100,2175.0
42017104201,2935.0
42017104203,5652.0
42017104204,5256.0
42017104301,2658.0
42017104303,4426.0
42017104304,1632.0
42017104400,2606.0
42017104502,7966.0
42017104503,4660.0
42017104505,5802.0
42017104506,2367.0
42017104601,4401.0
42017104603,7122.0
42017104604,6302.0
42017104701,3263.0
42017104702,2830.0
42017104703,2182.0
42017104800,2787.0
42017104901,6750.0
42017104902,8080.0
42017105003,5182.0
42017105004,6120.0
42017105006,4949.0
42017105008,4570.0
42017105009,2981.0
42017105010,3530.0
42017105011,3495.0
42017105012,2789.0
42017105013,6241.0
42017105100,3251.0
42017105202,4745.0
42017105203,2201.0
42017105206,5651.0
42017105207,4751.0
42017105208,2452.0
42017105300,2137.0
42017105401,4264.0
42017105402,4521.0
42017105505,3891.0
42017105506,4314.0
42017105507,7139.0
42017105508,3415.0
42017105509,4497.0
42017105510,5619.0
42017105511,4266.0
42017105600,2585.0
42017105702,2822.0
42017105704,7327.0
42017105801,6008.0
42017105805,6672.0
42017105807,3925.0
42017105808,3797.0
42017105809,4151.0
42017105810,2214.0
42017105811,5563.0
42017105812,1840.0
42017105900,2311.0
42017106000,4131.0
42017106100,3269.0
42017106201,3686.0
42017106202,3389.0
42017106300,7875.0
42017106401,8339.0
42017106402,7472.0
42017106500,6562.0
42017106600,1978.0
42017980000,0.0
42019902100,2306.0
42019902200,2106.0
42019902300,3393.0
42019902400,1975.0
42019902500,3672.0
42019902600,3261.0
42019902700,2092.0
42019902800,2573.0
42019902900,2089.0
42019903000,4645.0
42019903100,2483.0
42019910100,4041.0
42019910200,4593.0
42019910301,5048.0
42019910302,4154.0
42019910400,3165.0
42019910600,4027.0
42019910700,2783.0
42019910800,2668.0
42019910900,5160.0
42019911000,5953.0
42019911100,4851.0
42019911200,5441.0
42019911300,5178.0
42019911400,3364.0
42019911501,5232.0
42019911502,4195.0
42019911600,4973.0
42019911700,5116.0
42019911800,7637.0
42019911900,5150.0
42019912001,5629.0
42019912002,5769.0
42019912101,4833.0
42019912102,2714.0
42019912200,3412.0
42019912301,6156.0
42019912303,2905.0
42019912304,4081.0
42019912403,3098.0
42019912404,6106.0
42019912405,5013.0
42019912406,2545.0
42019912701,3467.0
42019912702,4351.0
42019912800,6719.0
42019980100,2439.0
42021000100,997.0
42021000200,683.0
42021000300,1408.0
42021000500,1811.0
42021000600,1794.0
42021000700,2614.0
42021001200,2569.0
42021010100,4011.0
42021010200,1198.0
42021010300,2448.0
42021010500,3299.0
42021010600,2598.0
42021010700,2783.0
42021010801,5314.0
42021011000,1615.0
42021011100,5147.0
42021011200,2269.0
42021011300,4992.0
42021011400,3097.0
42021011500,4245.0
42021011600,2566.0
42021011700,2328.0
42021011800,3627.0
42021011900,3573.0
42021012000,5858.0
42021012100,2479.0
42021012200,3600.0
42021012300,4129.0
42021012400,3543.0
42021012500,5781.0
42021012600,3402.0
42021012700,2522.0
42021012800,5250.0
42021012900,3440.0
42021013000,2594.0
42021013100,2269.0
42021013200,3852.0
42021013300,5768.0
42021013400,2493.0
42021013500,2431.0
42021013600,2947.0
42021013700,4704.0
42023960100,1934.0
42023960200,2662.0
42025020102,4546.0
42025020103,4438.0
42025020106,1666.0
42025020107,3605.0
42025020108,1878.0
42025020201,3249.0
42025020202,3115.0
42025020301,3291.0
42025020302,3117.0
42025020400,4110.0
42025020501,4247.0
42025020502,2769.0
42025020600,5267.0
42025020700,5294.0
42025020801,4165.0
42025020802,4450.0
42025020900,5585.0
42027010100,3911.0
42027010200,2865.0
42027010300,3213.0
42027010400,3370.0
42027010500,5054.0
42027010600,3825.0
42027010700,6258.0
42027010801,1738.0
42027010802,3899.0
42027010901,3791.0
42027010902,3358.0
42027011001,2534.0
42027011002,5526.0
42027011101,3202.0
42027011102,2979.0
42027011201,4274.0
42027011202,4217.0
42027011301,2832.0
42027011302,1863.0
42027011303,3311.0
42027011401,4573.0
42027011402,3981.0
42027011501,3504.0
42027011503,3031.0
42027011504,4318.0
42027011600,4735.0
42027011702,5962.0
42027011800,5907.0
42027011901,2826.0
42027011903,1414.0
42027011904,3742.0
42027011905,2514.0
42027012000,5255.0
42027012100,6102.0
42027012200,4955.0
42027012300,2276.0
42027012400,5006.0
42027012500,3931.0
42027012600,3357.0
42027012700,3753.0
42027012800,5717.0
42029300101,2934.0
42029300103,2714.0
42029300104,5748.0
42029300106,5457.0
42029300107,4461.0
42029300108,6753.0
42029300109,3529.0
42029300201,5601.0
42029300202,5323.0
42029300301,4173.0
42029300302,3887.0
42029300303,3124.0
42029300400,3368.0
42029300501,5057.0
42029300502,3691.0
42029300600,5984.0
42029300700,5460.0
42029300800,4508.0
42029300900,2485.0
42029301001,4774.0
42029301002,3401.0
42029301100,3465.0
42029301300,7061.0
42029301401,3168.0
42029301402,5218.0
42029301500,2763.0
42029301600,2582.0
42029301700,1606.0
42029301800,6473.0
42029301900,4014.0
42029302000,6017.0
42029302102,4485.0
42029302103,3648.0
42029302104,5606.0
42029302203,4936.0
42029302204,6181.0
42029302205,2471.0
42029302206,5748.0
42029302207,203.0
42029302300,2903.0
42029302400,4054.0
42029302500,3535.0
42029302600,4699.0
42029302702,4585.0
42029302703,4581.0
42029302704,5203.0
42029302705,3422.0
42029302706,5149.0
42029302802,4901.0
42029302803,2354.0
42029302804,3931.0
42029302806,3065.0
42029302807,4105.0
42029302901,4731.0
42029302902,6406.0
42029303000,3180.0
42029303100,4091.0
42029303301,3700.0
42029303302,4683.0
42029303401,3839.0
42029303402,2120.0
42029303501,4138.0
42029303502,3193.0
42029303801,4337.0
42029303803,4187.0
42029303804,5683.0
42029303901,4811.0
42029303902,5464.0
42029304000,5345.0
42029304101,4606.0
42029304102,3441.0
42029304201,6809.0
42029304300,9458.0
42029304403,4206.0
42029304404,4984.0
42029304405,6308.0
42029304406,3515.0
42029304502,2833.0
42029304503,5311.0
42029304504,4126.0
42029304600,3689.0
42029304900,8209.0
42029305000,2044.0
42029305101,4668.0
42029305102,4260.0
42029305300,7835.0
42029305400,4362.0
42029305500,3904.0
42029305600,2628.0
42029305700,2412.0
42029306000,7640.0
42029306300,2782.0
42029306501,4298.0
42029306503,2825.0
42029306504,4342.0
42029306600,3184.0
42029306700,4417.0
42029306800,1752.0
42029306900,5792.0
42029307000,5601.0
42029307100,2462.0
42029307200,1280.0
42029307300,4091.0
42029307400,3859.0
42029307700,2489.0
42029307800,2551.0
42029307900,5375.0
42029308000,5671.0
42029308101,4121.0
42029308102,4821.0
42029308200,2769.0
42029311000,7368.0
42029311100,3846.0
42029311200,2029.0
42029311300,4452.0
42029311401,7537.0
42029311403,3646.0
42029311404,3723.0
42029311500,3467.0
42029311600,2166.0
42029311701,2870.0
42029311702,7167.0
42029311800,3830.0
42029980000,3401.0
42031160101,1708.0
42031160103,3064.0
42031160104,1593.0
42031160201,1747.0
42031160202,1664.0
42031160300,4953.0
42031160400,3731.0
42031160500,3490.0
42031160600,4046.0
42031160701,2154.0
42031160702,2131.0
42031160800,3666.0
42031160900,3624.0
42033330100,5299.0
42033330200,3098.0
42033330300,4450.0
42033330400,6470.0
42033330500,4142.0
42033330600,3216.0
42033330700,2167.0
42033330800,6899.0
42033330900,6433.0
42033331000,4931.0
42033331100,3006.0
42033331200,2985.0
42033331300,4321.0
42033331401,3421.0
42033331402,3543.0
42033331500,1852.0
42033331600,2314.0
42033331700,7037.0
42033331800,2866.0
42033331900,2217.0
42035030100,3135.0
42035030200,5374.0
42035030300,4067.0
42035030400,4727.0
42035030500,3981.0
42035030600,2222.0
42035030701,5306.0
42035030702,930.0
42035030800,3943.0
42035030900,4139.0
42037050100,5350.0
42037050200,5408.0
42037050300,4978.0
42037050400,3856.0
42037050500,4146.0
42037050600,5428.0
42037050700,4927.0
42037050800,3601.0
42037050900,3480.0
42037051000,2508.0
42037051101,2496.0
42037051102,3925.0
42037051200,3921.0
42037051300,3179.0
42037051400,2177.0
