GEOID,population
12001000201,4403.0
12001000202,4720.0
12001000301,4296.0
12001000302,2407.0
12001000400,5829.0
12001000500,4784.0
12001000600,6080.0
12001000700,6935.0
12001000806,3407.0
12001000808,3587.0
12001000809,1167.0
12001000901,2993.0
12001000902,6583.0
12001001000,7119.0
12001001100,6931.0
12001001201,3253.0
12001001202,8632.0
12001001203,4110.0
12001001400,4690.0
12001001514,1805.0
12001001515,4873.0
12001001516,2544.0
12001001517,5124.0
12001001519,2144.0
12001001522,6371.0
12001001605,9473.0
12001001701,5621.0
12001001702,6067.0
12001001802,3143.0
12001001803,6659.0
12001001811,6795.0
12001001813,4460.0
12001001815,1868.0
12001001816,5392.0
12001001817,4993.0
12001001818,5560.0
12001001819,4003.0
12001001902,3815.0
12001001907,2655.0
12001001908,5299.0
12001002001,1376.0
12001002002,4179.0
12001002101,2002.0
12001002102,862.0
12001002201,6631.0
12001002202,6149.0
12001002204,11751.0
12001002207,4014.0
12001002208,3043.0
12001002209,8615.0
12001002210,5464.0
12001002217,5335.0
12001002218,1762.0
12001002219,6425.0
12001002220,2371.0
12001002221,6442.0
12001002222,7095.0
12001110800,2065.0
12003040101,8024.0
12003040102,7121.0
12003040201,7331.0
12003040202,5527.0
12005000201,5284.0
12005000203,2531.0
12005000204,3244.0
12005000301,3054.0
12005000302,5910.0
12005000401,2276.0
12005000402,6994.0
12005000500,6940.0
12005000600,1273.0
12005000700,1416.0
12005000803,5070.0
12005000804,2799.0
12005000805,4166.0
12005000806,3236.0
12005000900,4198.0
12005001000,2037.0
12005001100,4706.0
12005001200,3125.0
12005001301,5293.0
12005001302,6506.0
12005001402,6938.0
12005001403,2006.0
12005001404,7845.0
12005001501,5697.0
12005001502,5412.0
12005001600,2777.0
12005001700,2557.0
12005001800,1529.0
12005001900,3913.0
12005002000,1414.0
12005002200,4341.0
12005002300,3305.0
12005002400,3578.0
12005002500,2897.0
12005002604,8261.0
12005002605,1880.0
12005002606,1659.0
12005002607,1408.0
12005002608,3953.0
12005002609,5926.0
12005002703,3324.0
12005002706,2557.0
12005002707,2686.0
12005002708,763.0
12005002709,3247.0
12005002710,5240.0
12005002711,3171.0
12005002712,1760.0
12005002713,1282.0
12005990000,0.0
12007000100,6115.0
12007000201,4737.0
12007000202,3202.0
12007000301,4004.0
12007000302,3415.0
12007000400,6455.0
12009060103,2379.0
12009060104,1460.0
12009060105,3022.0
12009060106,1580.0
12009060201,2544.0
12009060202,3145.0
12009060301,2306.0
12009060302,2657.0
12009060400,4418.0
12009060500,5192.0
12009060600,5417.0
12009060700,2880.0
12009061001,5729.0
12009061002,3297.0
12009061100,5996.0
12009061201,7650.0
12009061202,3374.0
12009062106,2904.0
12009062108,7590.0
12009062109,4445.0
12009062110,3558.0
12009062111,3458.0
12009062112,1328.0
12009062113,6225.0
12009062114,1631.0
12009062115,2210.0
12009062301,3217.0
12009062302,4070.0
12009062401,1979.0
12009062402,6294.0
12009062500,4262.0
12009062600,2719.0
12009062800,3791.0
12009062900,5615.0
12009063000,4518.0
12009063102,7710.0
12009063104,3886.0
12009063105,9315.0
12009063106,5495.0
12009063108,5631.0
12009063109,5469.0
12009064102,5667.0
12009064123,6511.0
12009064124,4856.0
12009064126,4064.0
12009064127,8977.0
12009064128,11309.0
12009064129,2581.0
12009064130,4099.0
12009064201,2259.0
12009064202,2982.0
12009064301,5166.0
12009064302,6439.0
12009064400,5574.0
12009064500,4244.0
12009064601,8486.0
12009064602,2110.0
12009064701,2773.0
12009064702,1627.0
12009064800,3347.0
12009064901,6425.0
12009064902,3891.0
12009065001,3573.0
12009065022,5907.0
12009065023,3650.0
12009065024,7178.0
12009065025,1776.0
12009065123,4236.0
12009065124,2466.0
12009065126,3013.0
12009065127,3877.0
12009065128,3526.0
12009065129,4359.0
12009065130,3361.0
12009065131,3093.0
12009065201,6081.0
12009065202,6010.0
12009065231,5746.0
12009065236,1749.0
12009065237,3111.0
12009065238,421.0
12009065239,3120.0
12009065240,2107.0
12009066101,4347.0
12009066103,2539.0
12009066104,4928.0
12009066200,2823.0
12009066301,6340.0
12009066302,5417.0
12009066400,5276.0
12009066500,3902.0
12009066600,4527.0
12009066700,5144.0
12009066800,1620.0
12009066900,6855.0
12009067100,1609.0
12009068101,3286.0
12009068102,2307.0
12009068400,1854.0
12009068501,2301.0
12009068502,2305.0
12009068601,2212.0
12009068603,1606.0
12009068604,2142.0
12009069100,4582.0
12009069200,2435.0
12009069300,2971.0
12009069400,6608.0
12009069700,2350.0
12009069801,3763.0
