GEOID,population
13001950100,3421.0
13001950201,2491.0
13001950202,2466.0
13001950301,2960.0
13001950302,1596.0
13001950400,1852.0
13001950500,3723.0
13003960100,2214.0
13003960200,4604.0
13003960300,1451.0
13005970100,2699.0
13005970201,4295.0
13005970202,4169.0
13007960100,1910.0
13007960200,1018.0
13009970101,2266.0
13009970102,3055.0
13009970201,3248.0
13009970202,3480.0
13009970301,2341.0
13009970302,3470.0
13009970400,3803.0
13009970501,3754.0
13009970502,2724.0
13009970600,3754.0
13009970701,1974.0
13009970702,2312.0
13009970801,3230.0
13009970802,4465.0
13011970100,5097.0
13011970200,4574.0
13011970300,4532.0
13011970400,3858.0
13013180103,6116.0
13013180104,2366.0
13013180105,2789.0
13013180106,2615.0
13013180107,4103.0
13013180108,2929.0
13013180203,3662.0
13013180204,3233.0
13013180205,5038.0
13013180206,3339.0
13013180301,3193.0
13013180302,5845.0
13013180303,5765.0
13013180401,6089.0
13013180402,6318.0
13013180501,7898.0
13013180502,4939.0
13013180503,5901.0
13015960101,1657.0
13015960103,3659.0
13015960104,2646.0
13015960105,3748.0
13015960201,2788.0
13015960202,3836.0
13015960203,3855.0
13015960301,3823.0
13015960302,3039.0
13015960403,4185.0
13015960404,5511.0
13015960405,4903.0
13015960406,2625.0
13015960407,2782.0
13015960501,6496.0
13015960502,2831.0
13015960601,5435.0
13015960602,3500.0
13015960701,4448.0
13015960702,3055.0
13015960801,4734.0
13015960802,3455.0
13015960804,3788.0
13015960805,1866.0
13015960901,2831.0
13015960902,7412.0
13015961001,5550.0
13015961002,3410.0
13017960100,2966.0
13017960200,1725.0
13017960300,3501.0
13017960400,4234.0
13017960501,778.0
13017960502,4033.0
13019970100,1330.0
13019970200,3787.0
13019970300,2837.0
13019970400,3516.0
13019970500,3386.0
13019970600,3339.0
13021010100,1682.0
13021010200,1967.0
13021010400,1603.0
13021010500,2771.0
13021010800,1618.0
13021011001,3197.0
13021011002,895.0
13021011100,1855.0
13021011500,1290.0
13021011701,2864.0
13021011702,4259.0
13021011800,4035.0
13021011900,1916.0
13021012000,4899.0
13021012101,3032.0
