GEOID,population
47001020100,3439.0
47001020201,4468.0
47001020202,4347.0
47001020300,4120.0
47001020400,4324.0
47001020500,4060.0
47001020600,2327.0
47001020700,1569.0
47001020800,4571.0
47001020901,5465.0
47001020902,6513.0
47001021001,2648.0
47001021002,3303.0
47001021100,4250.0
47001021201,5210.0
47001021202,5359.0
47001021301,3516.0
47001021303,3972.0
47001021304,3222.0
47001980100,0.0
47003950100,4593.0
47003950201,3426.0
47003950202,3990.0
47003950300,3293.0
47003950401,6161.0
47003950402,7329.0
47003950500,7095.0
47003950600,7490.0
47003950700,3293.0
47003950800,3084.0
47005963000,3129.0
47005963100,2988.0
47005963200,2035.0
47005963300,3656.0
47005963400,4064.0
47007953000,4107.0
47007953101,1874.0
47007953102,4139.0
47007953200,4743.0
47009010100,2960.0
47009010200,7139.0
47009010301,6449.0
47009010302,3641.0
47009010400,3521.0
47009010500,2655.0
47009010600,4327.0
47009010700,5152.0
47009010800,3101.0
47009010900,6000.0
47009011001,6424.0
47009011002,4328.0
47009011101,5449.0
47009011102,9076.0
47009011201,5200.0
47009011202,4292.0
47009011301,6165.0
47009011302,6503.0
47009011401,1710.0
47009011403,2212.0
47009011404,2151.0
47009011501,1662.0
47009011502,3977.0
47009011503,6938.0
47009011603,5198.0
47009011604,4349.0
47009011605,3467.0
47009011606,6117.0
47009011607,3862.0
47009980100,5.0
47009980200,12.0
47011010100,5261.0
47011010201,2818.0
47011010202,2668.0
47011010300,3725.0
47011010400,2996.0
47011010500,3780.0
47011010600,3933.0
47011010700,5137.0
47011010800,3200.0
47011010900,2912.0
47011011000,5618.0
47011011101,6462.0
47011011102,2963.0
47011011201,6183.0
47011011203,5227.0
47011011204,5926.0
47011011301,5896.0
47011011302,2588.0
47011011402,3305.0
47011011403,4184.0
47011011404,4000.0
47011011501,5704.0
47011011502,4174.0
47011011601,4500.0
47011011602,4685.0
47013950100,3273.0
47013950200,2277.0
47013950300,1987.0
47013950400,4692.0
47013950500,4971.0
47013950601,2143.0
47013950602,2356.0
47013950701,1803.0
47013950702,3143.0
47013950800,2367.0
47013950900,2858.0
47013951000,2173.0
47013951100,5345.0
47015960100,4081.0
47015960201,2187.0
47015960202,4182.0
47015960300,3859.0
47017962000,4234.0
47017962101,2809.0
47017962102,3615.0
47017962201,3351.0
47017962202,4571.0
47017962300,4568.0
47017962400,2618.0
47017962500,2604.0
47017980100,0.0
47019070100,2042.0
47019070200,3851.0
47019070300,5475.0
47019070400,2122.0
47019070500,3835.0
47019070600,2559.0
47019070700,3640.0
47019070800,2858.0
47019070900,3670.0
47019071000,2362.0
47019071100,1869.0
47019071200,3677.0
47019071301,3774.0
47019071302,3664.0
47019071400,3579.0
47019071500,2173.0
47019071600,1504.0
47019071700,3660.0
47021070102,4052.0
47021070103,3587.0
47021070104,5962.0
47021070201,4823.0
47021070202,5396.0
47021070203,3718.0
47021070300,4066.0
47021070401,2614.0
47021070402,6660.0
47023970101,2790.0
47023970102,3261.0
47023970200,5755.0
47023970301,1487.0
47023970302,3985.0
47025970100,2673.0
47025970200,2475.0
47025970300,4182.0
47025970400,764.0
47025970500,2673.0
47025970600,4664.0
47025970700,6307.0
47025970800,3473.0
47025970900,4747.0
47027955000,4983.0
47027955100,2585.0
