GEOID,population
37001020100,4224.0
37001020200,4208.0
37001020301,3908.0
37001020302,3611.0
37001020400,6173.0
37001020501,3860.0
37001020502,4341.0
37001020601,3234.0
37001020602,2628.0
37001020701,5611.0
37001020702,5500.0
37001020801,1819.0
37001020802,5909.0
37001020901,3549.0
37001020902,4211.0
37001021000,4723.0
37001021101,3267.0
37001021102,3389.0
37001021201,6274.0
37001021204,4867.0
37001021205,7701.0
37001021206,5582.0
37001021207,3445.0
37001021300,6145.0
37001021400,2420.0
37001021500,4579.0
37001021600,7661.0
37001021701,3455.0
37001021702,6612.0
37001021703,7437.0
37001021801,4808.0
37001021802,3903.0
37001021803,3332.0
37001021901,5005.0
37001021902,3901.0
37001022001,3657.0
37001022002,4236.0
37003040100,3104.0
37003040200,3714.0
37003040300,3058.0
37003040400,6344.0
37003040500,6637.0
37003040600,6752.0
37003040700,6882.0
37005950100,4097.0
37005950200,3889.0
37005950300,2924.0
37007920100,2978.0
37007920200,1733.0
37007920301,4433.0
37007920302,461.0
37007920400,2753.0
37007920501,922.0
37007920502,4369.0
37007920600,3441.0
37007980000,1298.0
37009970200,2898.0
37009970300,2335.0
37009970400,4857.0
37009970501,2714.0
37009970502,2868.0
37009970701,3673.0
37009970702,1785.0
37009970801,2098.0
37009970802,3370.0
37011930100,3762.0
37011930200,2755.0
37011930301,3380.0
37011930302,2488.0
37011930400,5362.0
37013930101,3442.0
37013930102,1672.0
37013930200,6056.0
37013930300,3625.0
37013930400,5293.0
37013930501,3734.0
37013930502,3511.0
37013930600,3060.0
37013930700,2464.0
37013930800,2350.0
37013930900,3670.0
37013931001,2980.0
37013931002,3041.0
37015960100,4998.0
37015960200,3794.0
37015960300,3189.0
37015960401,2795.0
37015960402,3329.0
37017950101,2686.0
37017950102,1882.0
37017950200,2408.0
37017950301,3126.0
37017950302,2883.0
37017950401,3496.0
37017950402,2547.0
37017950501,3022.0
37017950502,3441.0
37017950601,2540.0
37017950602,2074.0
37019020101,2242.0
37019020102,5505.0
37019020105,6359.0
37019020106,3027.0
37019020107,3910.0
37019020108,3012.0
37019020201,5866.0
37019020203,2160.0
37019020204,6978.0
37019020205,7961.0
37019020206,1695.0
37019020304,9689.0
37019020305,2834.0
37019020306,1892.0
37019020307,155.0
37019020308,2214.0
37019020311,2787.0
37019020312,1142.0
37019020313,2442.0
37019020314,366.0
37019020315,2059.0
37019020316,687.0
37019020404,2865.0
37019020405,3528.0
37019020406,952.0
37019020407,1685.0
37019020408,2924.0
37019020409,1750.0
37019020504,1909.0
37019020505,3131.0
37019020508,2772.0
37019020510,2589.0
37019020511,2083.0
37019020512,920.0
37019020513,1405.0
37019020514,2856.0
37019020515,4164.0
37019020516,4351.0
37019020517,2737.0
37019020518,2967.0
37019020601,4816.0
37019020602,4910.0
37019020603,3493.0
37019990100,0.0
37021000100,1400.0
37021000200,1362.0
37021000300,2500.0
37021000400,4180.0
37021000500,3776.0
37021000600,1956.0
